"","body_mass_g","flipper_length_mm","species"
"1",3750,181,"Adelie Penguin (Pygoscelis adeliae)"
"2",3800,186,"Adelie Penguin (Pygoscelis adeliae)"
"3",3250,195,"Adelie Penguin (Pygoscelis adeliae)"
"4",3450,193,"Adelie Penguin (Pygoscelis adeliae)"
"5",3650,190,"Adelie Penguin (Pygoscelis adeliae)"
"6",3625,181,"Adelie Penguin (Pygoscelis adeliae)"
"7",4675,195,"Adelie Penguin (Pygoscelis adeliae)"
"8",3475,193,"Adelie Penguin (Pygoscelis adeliae)"
"9",4250,190,"Adelie Penguin (Pygoscelis adeliae)"
"10",3300,186,"Adelie Penguin (Pygoscelis adeliae)"
"11",3700,180,"Adelie Penguin (Pygoscelis adeliae)"
"12",3200,182,"Adelie Penguin (Pygoscelis adeliae)"
"13",3800,191,"Adelie Penguin (Pygoscelis adeliae)"
"14",4400,198,"Adelie Penguin (Pygoscelis adeliae)"
"15",3700,185,"Adelie Penguin (Pygoscelis adeliae)"
"16",3450,195,"Adelie Penguin (Pygoscelis adeliae)"
"17",4500,197,"Adelie Penguin (Pygoscelis adeliae)"
"18",3325,184,"Adelie Penguin (Pygoscelis adeliae)"
"19",4200,194,"Adelie Penguin (Pygoscelis adeliae)"
"20",3400,174,"Adelie Penguin (Pygoscelis adeliae)"
"21",3600,180,"Adelie Penguin (Pygoscelis adeliae)"
"22",3800,189,"Adelie Penguin (Pygoscelis adeliae)"
"23",3950,185,"Adelie Penguin (Pygoscelis adeliae)"
"24",3800,180,"Adelie Penguin (Pygoscelis adeliae)"
"25",3800,187,"Adelie Penguin (Pygoscelis adeliae)"
"26",3550,183,"Adelie Penguin (Pygoscelis adeliae)"
"27",3200,187,"Adelie Penguin (Pygoscelis adeliae)"
"28",3150,172,"Adelie Penguin (Pygoscelis adeliae)"
"29",3950,180,"Adelie Penguin (Pygoscelis adeliae)"
"30",3250,178,"Adelie Penguin (Pygoscelis adeliae)"
"31",3900,178,"Adelie Penguin (Pygoscelis adeliae)"
"32",3300,188,"Adelie Penguin (Pygoscelis adeliae)"
"33",3900,184,"Adelie Penguin (Pygoscelis adeliae)"
"34",3325,195,"Adelie Penguin (Pygoscelis adeliae)"
"35",4150,196,"Adelie Penguin (Pygoscelis adeliae)"
"36",3950,190,"Adelie Penguin (Pygoscelis adeliae)"
"37",3550,180,"Adelie Penguin (Pygoscelis adeliae)"
"38",3300,181,"Adelie Penguin (Pygoscelis adeliae)"
"39",4650,184,"Adelie Penguin (Pygoscelis adeliae)"
"40",3150,182,"Adelie Penguin (Pygoscelis adeliae)"
"41",3900,195,"Adelie Penguin (Pygoscelis adeliae)"
"42",3100,186,"Adelie Penguin (Pygoscelis adeliae)"
"43",4400,196,"Adelie Penguin (Pygoscelis adeliae)"
"44",3000,185,"Adelie Penguin (Pygoscelis adeliae)"
"45",4600,190,"Adelie Penguin (Pygoscelis adeliae)"
"46",3425,182,"Adelie Penguin (Pygoscelis adeliae)"
"47",2975,179,"Adelie Penguin (Pygoscelis adeliae)"
"48",3450,190,"Adelie Penguin (Pygoscelis adeliae)"
"49",4150,191,"Adelie Penguin (Pygoscelis adeliae)"
"50",3500,186,"Adelie Penguin (Pygoscelis adeliae)"
"51",4300,188,"Adelie Penguin (Pygoscelis adeliae)"
"52",3450,190,"Adelie Penguin (Pygoscelis adeliae)"
"53",4050,200,"Adelie Penguin (Pygoscelis adeliae)"
"54",2900,187,"Adelie Penguin (Pygoscelis adeliae)"
"55",3700,191,"Adelie Penguin (Pygoscelis adeliae)"
"56",3550,186,"Adelie Penguin (Pygoscelis adeliae)"
"57",3800,193,"Adelie Penguin (Pygoscelis adeliae)"
"58",2850,181,"Adelie Penguin (Pygoscelis adeliae)"
"59",3750,194,"Adelie Penguin (Pygoscelis adeliae)"
"60",3150,185,"Adelie Penguin (Pygoscelis adeliae)"
"61",4400,195,"Adelie Penguin (Pygoscelis adeliae)"
"62",3600,185,"Adelie Penguin (Pygoscelis adeliae)"
"63",4050,192,"Adelie Penguin (Pygoscelis adeliae)"
"64",2850,184,"Adelie Penguin (Pygoscelis adeliae)"
"65",3950,192,"Adelie Penguin (Pygoscelis adeliae)"
"66",3350,195,"Adelie Penguin (Pygoscelis adeliae)"
"67",4100,188,"Adelie Penguin (Pygoscelis adeliae)"
"68",3050,190,"Adelie Penguin (Pygoscelis adeliae)"
"69",4450,198,"Adelie Penguin (Pygoscelis adeliae)"
"70",3600,190,"Adelie Penguin (Pygoscelis adeliae)"
"71",3900,190,"Adelie Penguin (Pygoscelis adeliae)"
"72",3550,196,"Adelie Penguin (Pygoscelis adeliae)"
"73",4150,197,"Adelie Penguin (Pygoscelis adeliae)"
"74",3700,190,"Adelie Penguin (Pygoscelis adeliae)"
"75",4250,195,"Adelie Penguin (Pygoscelis adeliae)"
"76",3700,191,"Adelie Penguin (Pygoscelis adeliae)"
"77",3900,184,"Adelie Penguin (Pygoscelis adeliae)"
"78",3550,187,"Adelie Penguin (Pygoscelis adeliae)"
"79",4000,195,"Adelie Penguin (Pygoscelis adeliae)"
"80",3200,189,"Adelie Penguin (Pygoscelis adeliae)"
"81",4700,196,"Adelie Penguin (Pygoscelis adeliae)"
"82",3800,187,"Adelie Penguin (Pygoscelis adeliae)"
"83",4200,193,"Adelie Penguin (Pygoscelis adeliae)"
"84",3350,191,"Adelie Penguin (Pygoscelis adeliae)"
"85",3550,194,"Adelie Penguin (Pygoscelis adeliae)"
"86",3800,190,"Adelie Penguin (Pygoscelis adeliae)"
"87",3500,189,"Adelie Penguin (Pygoscelis adeliae)"
"88",3950,189,"Adelie Penguin (Pygoscelis adeliae)"
"89",3600,190,"Adelie Penguin (Pygoscelis adeliae)"
"90",3550,202,"Adelie Penguin (Pygoscelis adeliae)"
"91",4300,205,"Adelie Penguin (Pygoscelis adeliae)"
"92",3400,185,"Adelie Penguin (Pygoscelis adeliae)"
"93",4450,186,"Adelie Penguin (Pygoscelis adeliae)"
"94",3300,187,"Adelie Penguin (Pygoscelis adeliae)"
"95",4300,208,"Adelie Penguin (Pygoscelis adeliae)"
"96",3700,190,"Adelie Penguin (Pygoscelis adeliae)"
"97",4350,196,"Adelie Penguin (Pygoscelis adeliae)"
"98",2900,178,"Adelie Penguin (Pygoscelis adeliae)"
"99",4100,192,"Adelie Penguin (Pygoscelis adeliae)"
"100",3725,192,"Adelie Penguin (Pygoscelis adeliae)"
"101",4725,203,"Adelie Penguin (Pygoscelis adeliae)"
"102",3075,183,"Adelie Penguin (Pygoscelis adeliae)"
"103",4250,190,"Adelie Penguin (Pygoscelis adeliae)"
"104",2925,193,"Adelie Penguin (Pygoscelis adeliae)"
"105",3550,184,"Adelie Penguin (Pygoscelis adeliae)"
"106",3750,199,"Adelie Penguin (Pygoscelis adeliae)"
"107",3900,190,"Adelie Penguin (Pygoscelis adeliae)"
"108",3175,181,"Adelie Penguin (Pygoscelis adeliae)"
"109",4775,197,"Adelie Penguin (Pygoscelis adeliae)"
"110",3825,198,"Adelie Penguin (Pygoscelis adeliae)"
